year,id,ext,den,cal,Reef
1984,055B09,0.9910,1.1770,1.1660,55
1985,055B09,0.8380,1.1980,1.0040,55
1986,055B09,1.0410,1.1810,1.2300,55
1987,055B09,1.1680,1.2080,1.4110,55
1988,055B09,0.9910,1.1870,1.1750,55
1964,055B10,1.2950,1.3910,1.8020,55
1965,055B10,2.0993,1.3600,2.8550,55
1966,055B10,2.0628,1.3030,2.6878,55
1967,055B10,1.6510,1.2770,2.1090,55
1968,055B10,1.8030,1.2680,2.2880,55
1969,055B10,1.4730,1.2750,1.8780,55
1970,055B10,1.1940,1.2750,1.5220,55
1971,055B10,1.4480,1.3380,1.9370,55
1972,055B10,1.6760,1.2880,2.1600,55
1973,055B10,1.2700,1.3240,1.6820,55
1974,055B10,1.3210,1.3050,1.7240,55
1975,055B10,1.4480,1.3220,1.9140,55
1976,055B10,1.5750,1.2750,2.0070,55
1977,055B10,0.9400,1.3150,1.2350,55
1978,055B10,1.6510,1.2910,2.1320,55
1979,055B10,1.0410,1.2180,1.2690,55
1980,055B10,1.1180,1.1710,1.3090,55
1981,055B10,1.1180,1.2500,1.3970,55
1982,055B10,1.3720,1.2640,1.7340,55
1983,055B10,0.8380,1.2760,1.0700,55
1984,055B10,1.1180,1.2830,1.4340,55
1985,055B10,0.8640,1.2940,1.1170,55
1986,055B10,1.0160,1.3040,1.3240,55
1987,055B10,0.7620,1.2910,0.9840,55
1988,055B10,0.8640,1.2830,1.1080,55
1989,055B10,0.8130,1.2530,1.0190,55
1943,055B14,1.3460,1.4600,1.9650,55
1944,055B14,0.7110,1.4250,1.0140,55
1945,055B14,1.2450,1.5020,1.8700,55
1946,055B14,0.9650,1.4670,1.4160,55
1947,055B14,1.2190,1.4900,1.8170,55
1948,055B14,1.0410,1.5320,1.5960,55
1949,055B14,1.1365,1.4900,1.6934,55
1950,055B14,1.2320,1.5010,1.8492,55
1951,055B14,0.8380,1.4750,1.2360,55
1952,055B14,0.5840,1.4510,0.8470,55
1953,055B14,0.9140,1.4480,1.3240,55
1954,055B14,0.9400,1.4580,1.3710,55
1955,055B14,1.4480,1.4730,2.1330,55
1956,055B14,1.4480,1.4670,2.1240,55
1957,055B14,0.5840,1.4600,0.8530,55
1958,055B14,0.9910,1.4240,1.4110,55
1959,055B14,0.9140,1.4210,1.2990,55
1960,055B14,0.9650,1.4110,1.3620,55
1961,055B14,0.8890,1.4390,1.2790,55
1962,055B14,1.0920,1.4410,1.5740,55
1963,055B14,1.1430,1.4380,1.6440,55
1964,055B14,1.2950,1.3960,1.8090,55
1965,055B14,0.7110,1.3860,0.9860,55
1966,055B14,1.2450,1.4030,1.7470,55
1967,055B14,1.1430,1.4050,1.6060,55
1968,055B14,1.0670,1.4260,1.5210,55
1969,055B14,1.0410,1.4080,1.4660,55
1970,055B14,1.0920,1.3780,1.5050,55
1971,055B14,1.0160,1.3290,1.3500,55
1972,055B14,0.9140,1.3210,1.2080,55
1973,055B14,1.3720,1.3240,1.8170,55
1974,055B14,0.8640,1.3170,1.1370,55
1975,055B14,0.7110,1.3340,0.9490,55
1976,055B14,1.1940,1.3730,1.6390,55
1977,055B14,1.4730,1.3620,2.0070,55
1978,055B14,0.8130,1.3630,1.1080,55
1979,055B14,1.3460,1.3540,1.8230,55
1980,055B14,1.0410,1.3560,1.4120,55
1981,055B14,1.1940,1.3980,1.6690,55
1982,055B14,0.5840,1.3520,0.7900,55
1983,055B14,1.1940,1.3730,1.6390,55
1984,055B14,1.1940,1.3630,1.6280,55
1985,055B14,0.7870,1.3810,1.0870,55
1986,055B14,0.9140,1.3850,1.2670,55
1987,055B14,1.6260,1.3970,2.2700,55
1988,055B14,1.0160,1.4120,1.4340,55
1989,055B14,0.6600,1.3960,0.9220,55
1932,141B11,0.7620,1.6630,1.2670,141
1933,141B11,0.6100,1.6330,0.9950,141
1934,141B11,0.5080,1.6450,0.8360,141
1935,141B11,0.5080,1.6190,0.8220,141
1936,141B11,0.9910,1.6010,1.5860,141
1937,141B11,0.5330,1.5790,0.8420,141
1938,141B11,0.5840,1.5880,0.9280,141
1939,141B11,0.5330,1.5920,0.8490,141
1940,141B11,0.6860,1.6330,1.1200,141
1941,141B11,0.5845,1.6450,0.9615,141
1942,141B11,0.4830,1.6460,0.7940,141
1943,141B11,1.0160,1.6500,1.6760,141
1944,141B11,0.5080,1.6230,0.8240,141
1945,141B11,0.7370,1.6080,1.1850,141
1946,141B11,0.6350,1.5830,1.0052,141
1947,141B11,0.5970,1.5460,0.9230,141
1948,141B11,0.5590,1.5410,0.8610,141
1949,141B11,0.9140,1.5660,1.4320,141
1950,141B11,0.6100,1.6100,0.9810,141
1951,141B11,0.6350,1.6060,1.0200,141
1952,141B11,0.5840,1.6160,0.9440,141
1953,141B11,0.9140,1.6140,1.4760,141
1954,141B11,0.6100,1.6220,0.9890,141
1955,141B11,0.6350,1.5990,1.0150,141
1956,141B11,0.8640,1.5950,1.3770,141
1957,141B11,0.9143,1.6160,1.4775,141
1958,141B11,0.7110,1.5670,1.1150,141
1959,141B11,0.8130,1.5530,1.2620,141
1960,141B11,0.5080,1.5490,0.7870,141
1961,141B11,0.8640,1.5830,1.3670,141
1962,141B11,0.7870,1.5940,1.2550,141
1963,141B11,0.6600,1.5560,1.0280,141
1964,141B11,0.6860,1.5510,1.0630,141
1965,141B11,0.7115,1.5580,1.1085,141
1966,141B11,0.7370,1.6000,1.1780,141
1967,141B11,0.6350,1.6480,1.0470,141
1968,141B11,0.6100,1.5930,0.9710,141
1969,141B11,0.8130,1.5690,1.2750,141
1970,141B11,0.6350,1.5480,0.9830,141
1971,141B11,0.7370,1.5250,1.1230,141
1972,141B11,0.7870,1.5100,1.1890,141
1973,141B11,0.6100,1.4880,0.9070,141
1974,141B11,0.8890,1.5140,1.3460,141
1975,141B11,0.9140,1.5780,1.4430,141
1976,141B11,0.8130,1.5980,1.2990,141
1977,141B11,0.9227,1.6110,1.4865,141
1978,141B11,0.7870,1.5700,1.2360,141
1979,141B11,0.7365,1.5400,1.1342,141
1980,141B11,0.6860,1.5320,1.0510,141
1981,141B11,0.8635,1.6440,1.4196,141
1982,141B11,0.9778,1.6140,1.5782,141
1983,141B11,0.8440,1.6550,1.3968,141
1984,141B11,0.7110,1.5750,1.1200,141
1985,141B11,0.7870,1.5360,1.2090,141
1986,141B11,0.7870,1.5520,1.2220,141
1987,141B11,0.7870,1.5210,1.1970,141
1988,141B11,0.9650,1.4980,1.4450,141
1943,141B12,0.7870,1.4780,1.1640,141
1944,141B12,0.7110,1.4350,1.0210,141
1945,141B12,0.7870,1.4370,1.1320,141
1946,141B12,0.9140,1.4250,1.3030,141
1947,141B12,0.7370,1.4400,1.0610,141
1948,141B12,0.7620,1.4660,1.1170,141
1949,141B12,0.8380,1.5080,1.2640,141
1950,141B12,0.6350,1.4710,0.9340,141
1951,141B12,0.6350,1.4270,0.9060,141
1952,141B12,0.7620,1.4110,1.0750,141
1953,141B12,0.7370,1.4190,1.0450,141
1954,141B12,0.7870,1.4470,1.1390,141
1955,141B12,0.7370,1.4270,1.0510,141
1956,141B12,0.6100,1.3800,0.8410,141
1957,141B12,0.6798,1.3610,0.9252,141
1958,141B12,0.7495,1.3910,1.0426,141
1959,141B12,0.7110,1.3670,0.9720,141
1960,141B12,0.5840,1.4000,0.8180,141
1961,141B12,0.8640,1.4460,1.2480,141
1962,141B12,0.8130,1.4680,1.1930,141
1963,141B12,0.9140,1.4150,1.2940,141
1964,141B12,1.0920,1.4000,1.5290,141
1965,141B12,0.7110,1.3850,0.9850,141
1966,141B12,1.1430,1.3940,1.5930,141
1967,141B12,1.0350,1.3850,1.4335,141
1968,141B12,0.9270,1.3800,1.2793,141
1969,141B12,1.0670,1.3040,1.3910,141
1970,141B12,1.0670,1.2570,1.3410,141
1971,141B12,0.9140,1.2660,1.1580,141
1972,141B12,0.9523,1.2820,1.2208,141
1973,141B12,0.9905,1.2280,1.2163,141
1974,141B12,0.9910,1.2300,1.2180,141
1975,141B12,0.9140,1.3170,1.2050,141
1976,141B12,0.9400,1.2990,1.2210,141
1977,141B12,0.7870,1.2720,1.0010,141
1978,141B12,0.8380,1.2890,1.0800,141
1979,141B12,0.9140,1.2620,1.1540,141
1980,141B12,1.0920,1.2860,1.4050,141
1981,141B12,1.0410,1.2740,1.3270,141
1982,141B12,0.9400,1.2650,1.1890,141
1983,141B12,0.9140,1.2630,1.1550,141
1984,141B12,0.9650,1.2410,1.1980,141
1985,141B12,1.0410,1.2670,1.3200,141
1986,141B12,0.8380,1.3070,1.0960,141
1987,141B12,0.7703,1.3200,1.0168,141
1988,141B12,1.1430,1.3140,1.5020,141
1941,141B14,0.9140,1.3670,1.2500,141
1942,141B14,0.9400,1.3730,1.2900,141
1943,141B14,0.8890,1.4420,1.2820,141
1944,141B14,1.1175,1.4640,1.6360,141
1945,141B14,1.1938,1.4540,1.7358,141
1946,141B14,1.0539,1.5710,1.6557,141
1947,141B14,0.9140,1.5270,1.3960,141
1948,141B14,0.8380,1.4200,1.1900,141
1949,141B14,0.7620,1.3890,1.0580,141
1950,141B14,0.9650,1.4120,1.3630,141
1951,141B14,0.7870,1.4210,1.1190,141
1952,141B14,0.9400,1.3900,1.3070,141
1953,141B14,0.7370,1.3730,1.0110,141
1954,141B14,0.6350,1.3490,0.8570,141
